"ID";"TPUName";"global_id";"AdmArea";"District";"NearStation";"YearOfComissioning";"Status";"AvailableTransfer";"CarCapacity";"geodata_center";"geoarea";
"Локальный идентификатор";"Наименование транспортно-пересадочного узла";"global_id";"Административный округ по адресу";"Район";"Станция метро или платформа, возле которой находится ТПУ";"Год ввода в эксплуатацию";"Статус объекта";"Возможность пересадки";"Количество машиномест";"geodata_center";"geoarea";
"96";"Транспортно-пересадочный узел «Сортировочная» (п)";"1769845";"Юго-Восточный административный округ";"район Лефортово";"платформа «Сортировочная»";"2014";"проект";"пригородная железная дорога";"";"";"";
"97";"Транспортно-пересадочный узел «Фрезер» (п)";"1769846";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Фрезер»";"2014";"построен";"пригородная железная дорога";"45";"";"";
"98";"Транспортно-пересадочный узел «Чухлинка» (п)";"1769847";"Юго-Восточный административный округ";"Рязанский район";"платформа «Чухлинка»";"2014";"построен";"пригородная железная дорога";"";"";"";
"99";"Транспортно-пересадочный узел «Братиславская» (п)";"1769848";"Юго-Восточный административный округ";"район Марьино";"станция метро «Братиславская»";"2015";"построен";"метро; перехватывающая парковка";"320";"";"";
"100";"Транспортно-пересадочный узел «Волжская» (п)";"1769849";"Юго-Восточный административный округ";"район Люблино";"станция метро «Волжская»";"2014";"построен";"метро; перехватывающая парковка";"240";"";"";
"101";"Транспортно-пересадочный узел «Депо» (п)";"1769850";"Юго-Восточный административный округ";"район Печатники";"платформа «Депо»";"2014";"построен";"пригородная железная дорога";"45";"";"";
"102";"Транспортно-пересадочный узел «Дубровка» (п)";"1769851";"Юго-Восточный административный округ";"Южнопортовый район";"станция метро «Дубровка»";"2014";"проект";"метро";"";"";"";
"103";"Транспортно-пересадочный узел «Калитники» (п)";"1769852";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Калитники»";"2014";"построен";"пригородная железная дорога";"";"";"";
"104";"Транспортно-пересадочный узел «Карачарово» (п)";"1769853";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Карачарово»";"2014";"построен";"пригородная железная дорога";"";"";"";
"105";"Транспортно-пересадочный узел «Кожуховская» (п)";"1769854";"Юго-Восточный административный округ";"Южнопортовый район";"станция метро «Кожуховская»";"2014";"построен";"метро; перехватывающая парковка";"120";"";"";
"106";"Транспортно-пересадочный узел «Люблино» (п) (3)";"1769855";"Юго-Восточный административный округ";"район Печатники";"платформа «Люблино»";"2014";"построен";"пригородная железная дорога";"85";"";"";
"107";"Транспортно-пересадочный узел «Марьино» (к)";"1769856";"Юго-Восточный административный округ";"район Марьино";"станция метро «Марьино»";"2018";"проект";"Метро; перехватывающая парковка";"230";"";"";
"108";"Транспортно-пересадочный узел «Москва-Товарная-Павелецкая» (п)";"1769857";"Южный административный округ";"Даниловский район";"платформа «Москва-Товарная-Павелецкая»";"2014";"построен";"пригородная железная дорога";"";"";"";
"109";"Транспортно-пересадочный узел «Перерва» (п)";"1769858";"Юго-Восточный административный округ";"район Печатники";"платформа «Перерва»";"2014";"построен";"пригородная железная дорога";"113";"";"";
"110";"Транспортно-пересадочный узел «Печатники» (п)";"1769859";"Юго-Восточный административный округ";"район Печатники";"станция метро «Печатники»";"2015";"построен";"метро; перехватывающая парковка; пригородная железная дорога";"160";"";"";
"111";"Транспортно-пересадочный узел «Плющево» (п)";"1769860";"Юго-Восточный административный округ";"Рязанский район";"платформа «Плющево»";"2014";"проект";"пригородная железная дорога";"";"";"";
"112";"Транспортно-пересадочный узел «Профсоюзная» (п)";"1769861";"Юго-Западный административный округ";"Академический район";"станция метро «Профсоюзная»";"2015";"построен";"метро; перехватывающая парковка";"500";"";"";
"113";"Транспортно-пересадочный узел «Севастопольская»";"1769862";"Юго-Западный административный округ";"район Зюзино";"станция метро «Севастопольская»";"2014";"построен";"метро";"110";"";"";
"114";"Транспортно-пересадочный узел «Улица Скобелевская» (п)";"1769863";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Улица Скобелевская»";"2014";"построен";"метро";"80";"";"";
"115";"Транспортно-пересадочный узел «Улица Горчакова» (п)";"1769864";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Улица Горчакова»";"2014";"построен";"метро";"52";"";"";
"116";"Транспортно-пересадочный узел «Академическая» (п)";"1769865";"Юго-Западный административный округ";"Академический район";"станция метро «Академическая»";"2015";"построен";"метро; перехватывающая парковка";"260";"";"";
"117";"Транспортно-пересадочный узел «Беляево» (п)";"1769866";"Юго-Западный административный округ";"район Коньково";"станция метро «Беляево»";"2015";"построен";"метро; перехватывающая парковка";"275";"";"";
"118";"Транспортно-пересадочный узел «Бульвар адмирала Ушакова» (п)";"1769867";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Бульвар адмирала Ушакова»";"2014";"построен";"метро";"95";"";"";
"119";"Транспортно-пересадочный узел «Бунинская аллея» (п)";"1769868";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Бунинская аллея»";"2014";"проект";"метро";"";"";"";
"120";"Транспортно-пересадочный узел «Бутово» (п)";"1769869";"Юго-Западный административный округ";"район Южное Бутово";"платформа «Бутово»";"2014";"построен";"пригородная железная дорога";"50";"";"";
"121";"Транспортно-пересадочный узел «Калужская» (п)";"1769870";"Юго-Западный административный округ";"Обручевский район";"станция метро «Калужская»";"2015";"построен";"метро; перехватывающая парковка";"121";"";"";
"67";"Транспортно-пересадочный узел «Достоевская» (п)";"1769871";"Центральный административный округ";"Тверской район";"станция метро «Достоевская»";"2014";"построен";"метро";"";"";"";
"68";"Транспортно-пересадочный узел «Китай-город» (п)";"1769872";"Центральный административный округ";"Тверской район";"станция метро «Китай-город»";"2014";"построен";"метро";"10";"";"";
"69";"Транспортно-пересадочный узел «Краснопресненская» (п)";"1769873";"Центральный административный округ";"Пресненский район";"станция метро «Краснопресненская»";"2014";"построен";"метро";"83";"";"";
"70";"Транспортно-пересадочный узел «Красносельская» (п)";"1769874";"Центральный административный округ";"Красносельский район";"станция метро «Красносельская»";"2014";"построен";"метро";"";"";"";
"71";"Транспортно-пересадочный узел «Красные ворота» (п)";"1769875";"Центральный административный округ";"Басманный район";"станция метро «Красные ворота»";"2014";"построен";"метро";"52";"";"";
"72";"Транспортно-пересадочный узел «Лубянка» (п)";"1769876";"Центральный административный округ";"Тверской район";"станция метро «Лубянка»";"2014";"построен";"метро";"";"";"";
"73";"Транспортно-пересадочный узел «Лужники» (п)";"1769877";"Центральный административный округ";"район Хамовники";"станция метро «Спортивная»";"2014";"построен";"метро; московское центральное кольцо";"";"";"";
"74";"Транспортно-пересадочный узел «Маяковская» (п)";"1769878";"Центральный административный округ";"Тверской район";"станция метро «Маяковская»";"2014";"построен";"метро";"";"";"";
"75";"Транспортно-пересадочный узел «Новокузнецкая» (п)";"1769879";"Центральный административный округ";"район Замоскворечье";"станция метро «Новокузнецкая»";"2014";"построен";"метро";"";"";"";
"76";"Транспортно-пересадочный узел «Новослободская» (п)";"1769880";"Центральный административный округ";"Тверской район";"станция метро «Новослободская»";"2014";"построен";"метро";"39";"";"";
"77";"Транспортно-пересадочный узел «Октябрьская» (п)";"1769881";"Центральный административный округ";"район Якиманка";"станция метро «Октябрьская»";"2014";"построен";"метро";"";"";"";
"78";"Транспортно-пересадочный узел «Охотный ряд» (п)";"1769882";"Центральный административный округ";"Тверской район";"станция метро «Охотный ряд»";"2014";"построен";"метро";"";"";"";
"79";"Транспортно-пересадочный узел «Парк Культуры» (п)";"1769883";"Центральный административный округ";"район Хамовники";"станция метро «Парк культуры»";"2014";"построен";"метро";"44";"";"";
"80";"Транспортно-пересадочный узел «Полянка» (п)";"1769884";"Центральный административный округ";"район Якиманка";"станция метро «Полянка»";"2014";"построен";"метро";"";"";"";
"81";"Транспортно-пересадочный узел «Тульская» (п)";"1769885";"Южный административный округ";"Даниловский район";"станция метро «Тульская»";"2014";"построен";"метро";"257";"";"";
"82";"Транспортно-пересадочный узел «Улица Академика Янгеля» (п)";"1769886";"Южный административный округ";"район Чертаново Южное";"станция метро «Улица Академика Янгеля»";"2015";"построен";"метро; перехватывающая парковка";"410";"";"";
"83";"Транспортно-пересадочный узел «Чертаново» (п)";"1769887";"Южный административный округ";"район Царицыно";"платформа «Чертаново»";"2014";"построен";"пригородная железная дорога";"117";"";"";
"84";"Транспортно-пересадочный узел «Чертановская» (п)";"1769888";"Южный административный округ";"район Чертаново Северное";"станция метро «Чертановская»";"2014";"построен";"метро";"294";"";"";
"85";"Транспортно-пересадочный узел «Шаболовская» (п)";"1769889";"Южный административный округ";"Донской район";"станция метро «Шаболовская»";"2014";"проект";"метро";"";"";"";
"86";"Транспортно-пересадочный узел «Шипиловская» (п)";"1769890";"Южный административный округ";"район Зябликово";"станция метро «Шипиловская»";"2014";"построен";"метро; перехватывающая парковка";"230";"";"";
"87";"Транспортно-пересадочный узел «Южная» (п)";"1769891";"Южный административный округ";"район Чертаново Северное";"станция метро «Южная»";"2014";"проект";"метро; перехватывающая парковка";"200";"";"";
"88";"Транспортно-пересадочный узел «Автозаводская» (п)";"1769892";"Южный административный округ";"Даниловский район";"станция метро «Автозаводская»";"2014";"построен";"метро; московское центральное кольцо";"";"";"";
"89";"Транспортно-пересадочный узел «Борисово» (п)";"1769893";"Южный административный округ";"район Братеево";"станция метро «Борисово»";"2014";"построен";"метро; перехватывающая парковка";"500";"";"";
"90";"Транспортно-пересадочный узел «Кантемировская» (п)";"1769894";"Южный административный округ";"район Царицыно";"станция метро «Кантемировская»";"2015";"построен";"метро; перехватывающая парковка";"220";"";"";
"91";"Транспортно-пересадочный узел «Каширская» (п)";"1769895";"Южный административный округ";"район Нагатино-Садовники";"станция метро «Каширская»";"2015";"построен";"метро; перехватывающая парковка";"500";"";"";
"92";"Транспортно-пересадочный узел «Коломенская» (п)";"1769896";"Южный административный округ";"район Нагатинский Затон";"станция метро «Коломенская»";"2014";"построен";"метро";"";"";"";
"93";"Транспортно-пересадочный узел «Красный строитель» (п)";"1769897";"Южный административный округ";"район Чертаново Южное";"платформа «Красный строитель»";"2014";"построен";"пригородная железная дорога";"60";"";"";
"94";"Транспортно-пересадочный узел «Нагорная» (п)";"1769898";"Южный административный округ";"Нагорный район";"станция метро «Нагорная»";"2014";"построен";"метро; перехватывающая парковка";"240";"";"";
"95";"Транспортно-пересадочный узел «Пражская» (п)";"1769899";"Южный административный округ";"район Чертаново Центральное";"станция метро «Пражская»";"2014";"построен";"метро";"";"";"";
"126";"Транспортно-пересадочный узел «Савёловская»";"1769900";"Северо-Восточный административный округ";"Бутырский район";"станция метро «Савёловская»";"2018";"проект";"Метро, станция железной дороги";"35";"";"";
"127";"Транспортно-пересадочный узел «Долгопрудная» (п)";"1769901";"Северо-Восточный административный округ";"район Северный";"платформа «Долгопрудная»";"2014";"построен";"пригородная железная дорога";"";"";"";
"128";"Транспортно-пересадочный узел «Планерная» (2)";"1769902";"Северный административный округ";"Молжаниновский район";"платформа «Планерная»";"2014";"проект";"пригородная железная дорога";"";"";"";
"131";"Транспортно-пересадочный узел «Москва-Товарная-Курская» (п)";"1769905";"Центральный административный округ";"Таганский район";"платформа «Москва Товарная - Курская»";"2014";"построен";"пригородная железная дорога";"110";"";"";
"132";"Транспортно-пересадочный узел «Бибирево» (п)";"1769906";"Северо-Восточный административный округ";"район Бибирево";"станция метро «Бибирево»";"2013";"построен";"метро; перехватывающая парковка";"450";"";"";
"133";"Транспортно-пересадочный узел «Ясенево» (п)";"1769907";"Юго-Западный административный округ";"район Ясенево";"станция метро «Ясенево»";"2013";"построен";"метро; перехватывающая парковка";"200";"";"";
"134";"Транспортно-пересадочный узел «Лианозово» (п)";"1769908";"Северо-Восточный административный округ";"район Лианозово";"платформа «Лианозово»";"2013";"построен";"пригородная железная дорога";"";"";"";
"135";"Транспортно-пересадочный узел «Домодедовская» (п)";"1769909";"Южный административный округ";"район Орехово-Борисово Южное";"станция метро «Домодедовская»";"2013";"построен";"метро; перехватывающая парковка";"180";"";"";
"136";"Транспортно-пересадочный узел «Царицыно» (п)";"1769910";"Южный административный округ";"район Царицыно";"станция метро «Царицыно»";"2013";"построен";"метро; пригородная железная дорога; перехватывающая парковка";"470";"";"";
"137";"Транспортно-пересадочный узел «Бульвар Дмитрия Донского» (п)";"1769911";"Юго-Западный административный округ";"район Северное Бутово";"станция метро «Бульвар Дмитрия Донского»";"2013";"построен";"метро";"";"";"";
"122";"Транспортно-пересадочный узел «Коньково» (п)";"1769912";"Юго-Западный административный округ";"район Тёплый Стан";"станция метро «Коньково»";"2014";"построен";"метро; перехватывающая парковка";"";"";"";
"123";"Транспортно-пересадочный узел «Нахимовский проспект» (п)";"1769913";"Юго-Западный административный округ";"район Зюзино";"станция метро «Нахимовский проспект»";"2014";"построен";"метро";"";"";"";
"124";"Транспортно-пересадочный узел «Площадь Гагарина» (п)";"1769914";"Юго-Западный административный округ";"Гагаринский район";"станция метро «Ленинский проспект»";"2014";"построен";"Наземный городской пассажирский транспорт; метро; московское центральное кольцо";"";"";"";
"138";"Транспортно-пересадочный узел «Рязанская» (к)";"1769916";"Юго-Восточный административный округ";"Нижегородский район";"станция метро «Нижегородская улица»";"2020";"проект";"Метро; станция московской кольцевой железной дороги; перехватывающая парковка; станция железной дороги";"500";"";"";
"139";"Транспортно-пересадочный узел «Площадь Гагарина» (к)";"1769917";"Юго-Западный административный округ";"Гагаринский район";"станция метро «Ленинский проспект»";"2020";"строится";"Наземный городской пассажирский транспорт, метро";"638";"";"";
"144";"Транспортно-пересадочный узел «Кутузово» (к)";"1769922";"Западный административный округ";"район Дорогомилово";"станция метро «Кутузовская»";"2020";"строится";"Наземный городской пассажирский транспорт, метро";"";"";"";
"145";"Транспортно-пересадочный узел «Лужники» (к)";"1769923";"Центральный административный округ";"район Хамовники";"станция метро «Спортивная»";"2020";"строится";"Наземный городской пассажирский транспорт, метро";"";"";"";
"36";"Транспортно-пересадочный узел «Марьина Роща» (к)";"1769925";"Северо-Восточный административный округ";"район Марьина Роща";"станция метро «Марьина Роща»";"2019";"проект";"Метро; перехватывающая парковка";"190";"";"";
"37";"Транспортно-пересадочный узел «Москва 3» (п)";"1769926";"Северо-Восточный административный округ";"Алексеевский район";"платформа «Москва-3»";"2014";"построен";"пригородная железная дорога";"";"";"";
"38";"Транспортно-пересадочный узел «Москва-Станколит» (п)";"1769927";"Северо-Восточный административный округ";"район Марьина Роща";"платформа «Москва-Станколит»";"2014";"построен";"пригородная железная дорога";"";"";"";
"39";"Транспортно-пересадочный узел «Останкино» (п)";"1769928";"Северо-Восточный административный округ";"район Марфино";"платформа «Останкино»";"2014";"построен";"пригородная железная дорога";"";"";"";
"40";"Транспортно-пересадочный узел «Строгино» (п)";"1769929";"Северо-Западный административный округ";"район Строгино";"станция метро «Строгино»";"2014";"построен";"метро; перехватывающая парковка";"700";"";"";
"41";"Транспортно-пересадочный узел «Трикотажная» (п)";"1769930";"Северо-Западный административный округ";"район Южное Тушино";"платформа «Трикотажная»";"2014";"построен";"пригородная железная дорога";"20";"";"";
"42";"Транспортно-пересадочный узел «Волоколамская» (к) (2)";"1769931";"Северо-Западный административный округ";"район Митино";"станция метро «Волоколамская»";"2018";"проект";"Метро, перехватывающая парковка, станция железной дороги";"";"";"";
"43";"Транспортно-пересадочный узел «Митино» (п)";"1769932";"Северо-Западный административный округ";"район Митино";"станция метро «Митино»";"2014";"построен";"метро";"";"";"";
"44";"Транспортно-пересадочный узел «Октябрьское поле» (п)";"1769933";"Северо-Западный административный округ";"район Щукино";"станция метро «Октябрьское поле»";"2014";"построен";"метро; перехватывающая парковка";"400";"";"";
"45";"Транспортно-пересадочный узел «Планерная» (п)";"1769934";"Северо-Западный административный округ";"район Северное Тушино";"станция метро «Планерная»";"2014";"построен";"метро; перехватывающая парковка";"30";"";"";
"46";"Транспортно-пересадочный узел «Покровское-Стрешнево» (п)";"1769935";"Северо-Западный административный округ";"район Покровское-Стрешнево";"платформа «Покровское-Стрешнево»";"2014";"проект";"пригородная железная дорога";"";"";"";
"6";"Транспортно-пересадочный узел «Вешняки» (п)";"1769937";"Юго-Восточный административный округ";"Рязанский район";"платформа «Вешняки»";"2014";"построен";"пригородная железная дорога";"";"";"";
"16";"Транспортно-пересадочный узел «Багратионовская» (п)";"1769938";"Западный административный округ";"район Филёвский Парк";"станция метро «Багратионовская»";"2014";"построен";"метро";"430";"";"";
"17";"Транспортно-пересадочный узел «Крылатское» (п)";"1769939";"Западный административный округ";"район Крылатское";"станция метро «Крылатское»";"2014";"построен";"метро; перехватывающая парковка";"350";"";"";
"19";"Транспортно-пересадочный узел «Переделкино» (п)";"1769941";"Западный административный округ";"район Ново-Переделкино";"платформа «Переделкино»";"2014";"построен";"пригородная железная дорога; перехватывающая парковка";"55";"";"";
"20";"Транспортно-пересадочный узел «Алабушево» (п)";"1769942";"Зеленоградский административный округ";"район Силино";"платформа «Алабушево»";"2014";"проект";"пригородная железная дорога";"";"";"";
"47";"Транспортно-пересадочный узел «Пролетарская» (п)";"1769943";"Центральный административный округ";"Таганский район";"станция метро «Пролетарская»";"2014";"построен";"метро";"41";"";"";
"48";"Транспортно-пересадочный узел «Проспект Мира» (п)";"1769944";"Центральный административный округ";"Мещанский район";"станция метро «Проспект Мира»";"2014";"построен";"метро";"30";"";"";
"49";"Транспортно-пересадочный узел «Рижская» (п) (1)";"1769945";"Центральный административный округ";"Мещанский район";"платформа «Рижская»";"2014";"построен";"Станция железной дороги";"";"";"";
"50";"Транспортно-пересадочный узел «Рижская» (к)";"1769946";"Центральный административный округ";"Мещанский район";"станция метро «Рижская»";"2019";"проект";"Метро; станция железной дороги";"107";"";"";
