"ID";"TPUName";"global_id";"AdmArea";"District";"NearStation";"YearOfComissioning";"Status";"AvailableTransfer";"CarCapacity";"geodata_center";"geoarea";
"51";"Транспортно-пересадочный узел «Рижская» (п) (2)";"1769947";"Центральный административный округ";"Мещанский район";"станция метро «Рижская»";"2018";"проект";"Метро; станция железной дороги";"";"";"";
"52";"Транспортно-пересадочный узел «Смоленская» (п)";"1769948";"Центральный административный округ";"район Арбат";"станция метро «Смоленская» Филёвской линии";"2014";"построен";"метро";"";"";"";
"53";"Транспортно-пересадочный узел «Сухаревская» (п)";"1769949";"Центральный административный округ";"Красносельский район";"станция метро «Сухаревская»";"2014";"построен";"метро";"47";"";"";
"54";"Транспортно-пересадочный узел «Тверская» (п)";"1769950";"Центральный административный округ";"Тверской район";"станция метро «Тверская»";"2014";"построен";"метро";"";"";"";
"55";"Транспортно-пересадочный узел «Тестовская» (п)";"1769951";"Центральный административный округ";"Пресненский район";"платформа «Тестовская»";"2014";"построен";"пригородная железная дорога";"";"";"";
"57";"Транспортно-пересадочный узел «Фрунзенская» (п)";"1769953";"Центральный административный округ";"район Хамовники";"станция метро «Фрунзенская»";"2014";"построен";"метро";"53";"";"";
"58";"Транспортно-пересадочный узел «Цветной бульвар» (п)";"1769954";"Центральный административный округ";"Тверской район";"станция метро «Цветной бульвар»";"2014";"построен";"метро";"8";"";"";
"59";"Транспортно-пересадочный узел «Чистые пруды» (п)";"1769955";"Центральный административный округ";"Басманный район";"станция метро «Чистые пруды»";"2014";"построен";"метро";"75";"";"";
"60";"Транспортно-пересадочный узел «Арбатская» (п)";"1769956";"Центральный административный округ";"район Арбат";"станция метро «Арбатская» Филёвской линии";"2014";"построен";"метро";"";"";"";
"61";"Транспортно-пересадочный узел «Бауманская» (п)";"1769957";"Центральный административный округ";"Басманный район";"станция метро «Бауманская»";"2014";"построен";"метро";"40";"";"";
"62";"Транспортно-пересадочный узел «Беговая» (п)";"1769958";"Северный административный округ";"Хорошёвский район";"станция метро «Беговая»";"2014";"построен";"метро; пригородная железная дорога";"";"";"";
"63";"Транспортно-пересадочный узел «Библиотека имени Ленина» (п)";"1769959";"Центральный административный округ";"район Арбат";"станция метро «Библиотека имени Ленина»";"2014";"построен";"метро";"";"";"";
"64";"Транспортно-пересадочный узел «Волхонка» (п)";"1769960";"Центральный административный округ";"район Хамовники";"станция метро «Кропоткинская»";"2014";"построен";"метро";"";"";"";
"65";"Транспортно-пересадочный узел «Выставочная» (п)";"1769961";"Центральный административный округ";"Пресненский район";"станция метро «Выставочная»";"2014";"построен";"метро";"";"";"";
"66";"Транспортно-пересадочный узел «Добрынинская» (п)";"1769962";"Центральный административный округ";"район Замоскворечье";"станция метро «Добрынинская»";"2014";"построен";"метро";"26";"";"";
"238";"Транспортно-пересадочный узел «Хорошевская» (к)";"1769963";"Северный административный округ";"Хорошёвский район";"станция метро «Полежаевская»";"2019";"проект";"метро";"";"";"";
"239";"Транспортно-пересадочный узел «Коньково» (к)";"1769964";"Юго-Западный административный округ";"район Тёплый Стан";"станция метро «Коньково»";"2018";"проект";"Метро; перехватывающая парковка";"300";"";"";
"7";"Транспортно-пересадочный узел «Измайловская» (п)";"1769965";"Восточный административный округ";"район Измайлово";"станция метро «Измайловская»";"2014";"построен";"метро; перехватывающая парковка";"480";"";"";
"8";"Транспортно-пересадочный узел «Измайловский парк» (п)";"1769966";"Восточный административный округ";"район Измайлово";"станция метро «Партизанская»";"2014";"построен";"метро; московское центральное кольцо; автовокзал";"45";"";"";
"9";"Транспортно-пересадочный узел «Открытое шоссе» (п)";"1769967";"Восточный административный округ";"район Богородское";"станция метро «Бульвар Рокоссовского»";"2014";"построен";"метро; московское центральное кольцо";"400";"";"";
"10";"Транспортно-пересадочный узел «Первомайская» (п)";"1769968";"Восточный административный округ";"район Измайлово";"станция метро «Первомайская»";"2014";"построен";"метро";"";"";"";
"11";"Транспортно-пересадочный узел «Перово» (п) (1)";"1769969";"Восточный административный округ";"район Перово";"платформа «Перово»";"2014";"построен";"пригородная железная дорога";"179";"";"";
"13";"Транспортно-пересадочный узел «Солнечная» (п)";"1769971";"Западный административный округ";"район Солнцево";"платформа «Солнечная»";"2014";"построен";"пригородная железная дорога";"30";"";"";
"1";"Транспортно-пересадочный узел «Преображенская площадь» (п)";"1769972";"Восточный административный округ";"район Преображенское";"станция метро «Преображенская площадь»";"2015";"проект";"метро; перехватывающая парковка";"330";"";"";
"2";"Транспортно-пересадочный узел «Сокольники» (п)";"1769973";"Восточный административный округ";"район Сокольники";"станция метро «Сокольники»";"2014";"построен";"метро; перехватывающая парковка";"";"";"";
"3";"Транспортно-пересадочный узел «Ухтомская» (п)";"1769974";"Восточный административный округ";"район Косино-Ухтомский";"платформа «Ухтомская»";"2014";"построен";"пригородная железная дорога";"132";"";"";
"4";"Транспортно-пересадочный узел «Черкизово» (п)";"1769975";"Восточный административный округ";"район Преображенское";"станция метро «Черкизовская»";"2014";"построен";"метро; московское центральное кольцо; перехватывающая парковка";"826";"";"";
"14";"Транспортно-пересадочный узел «Университет» (к)";"1769976";"Юго-Западный административный округ";"Гагаринский район";"станция метро «Университет»";"2018";"проект";"метро; перехватывающая парковка";"30";"";"";
"15";"Транспортно-пересадочный узел «Юго-Западная» (п)";"1769977";"Западный административный округ";"район Тропарёво-Никулино";"станция метро «Юго-Западная»";"2014";"построен";"метро; автовокзал; перехватывающая парковка";"210";"";"";
"150";"Транспортно-пересадочный узел «Андроновка»";"1769981";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Андроновка»";"2015";"проект";"московское центральное кольцо; наземный городской транспорт; перехватывающая парковка";"60";"";"";
"151";"Транспортно-пересадочный узел «Новохохловская»";"1769982";"Юго-Восточный административный округ";"Нижегородский район";"платформа строится";"2015";"проект";"московское центральное кольцо; наземный городской транспорт; перехватывающая парковка; пригородная железная дорога";"120";"";"";
"152";"Транспортно-пересадочный узел «Волгоградская»";"1769983";"Юго-Восточный административный округ";"район Печатники";"платформа «Угрешская»";"2015";"проект";"московское центральное кольцо; наземный городской транспорт";"";"";"";
"156";"Транспортно-пересадочный узел «Севастопольский проспект» (к) (1)";"1769987";"Южный административный округ";"Нагорный район";"платформа «Севастопольский проспект»";"2020";"строится";"Наземный городской пассажирский транспорт";"";"";"";
"157";"Транспортно-пересадочный узел «Ярославская» (к)";"1769988";"Северо-Восточный административный округ";"Ярославский район";"платформа «Ярославская»";"2020";"строится";"Наземный городской пассажирский транспорт, Ярославское направление железной дороги";"";"";"";
"159";"Транспортно-пересадочный узел «Волоколамская» (1)";"1769990";"Северный административный округ";"район Сокол";"платформа строится";"2015";"проект";"московское центральное кольцо; наземный городской транспорт; пригородная железная дорога";"";"";"";
"160";"Транспортно-пересадочный узел «Окружная» (к)";"1769991";"Северный административный округ";"Тимирязевский район";"платформа «Окружная»";"2018";"строится";"Наземный городской пассажирский транспорт, Савеловское направление железной дороги";"";"";"";
"161";"Транспортно-пересадочный узел «Соколиная Гора»";"1769992";"Восточный административный округ";"район Соколиная Гора";"платформа строится";"2015";"проект";"московское центральное кольцо; наземный городской транспорт; перехватывающая парковка";"800";"";"";
"162";"Транспортно-пересадочный узел «Ходынка»";"1769993";"Северный административный округ";"район Сокол";"платформа строится";"2015";"проект";"московское центральное кольцо; наземный городской транспорт";"";"";"";
"163";"Транспортно-пересадочный узел «Дубровка» (2)";"1769994";"Юго-Восточный административный округ";"Южнопортовый район";"платформа «Угрешская»";"2015";"проект";"московское центральное кольцо; наземный городской транспорт";"";"";"";
"164";"Транспортно-пересадочный узел «Варшавское шоссе»";"1769995";"Южный административный округ";"Нагорный район";"платформа строится";"2015";"проект";"московское центральное кольцо; наземный городской транспорт; перехватывающая парковка; пригородная железная дорога";"100";"";"";
"165";"Транспортно-пересадочный узел «Пресня»";"1769996";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"платформа строится";"2015";"проект";"московское центральное кольцо; наземный городской транспорт";"";"";"";
"166";"Транспортно-пересадочный узел «Хорошёво»";"1769997";"Северный административный округ";"Хорошёвский район";"платформа строится";"2015";"проект";"московское центральное кольцо; наземный городской транспорт";"";"";"";
"167";"Транспортно-пересадочный узел «Новопесчаная»";"1769998";"Северный административный округ";"Хорошёвский район";"платформа строится";"2015";"проект";"московское центральное кольцо; наземный городской транспорт; перехватывающая парковка";"";"";"";
"168";"Транспортно-пересадочный узел «Белокаменная»";"1769999";"Восточный административный округ";"район Богородское";"платформа строится";"2015";"проект";"московское центральное кольцо; наземный городской транспорт";"";"";"";
"21";"Транспортно-пересадочный узел «Крюково» (п)";"1770001";"Зеленоградский административный округ";"район Крюково";"платформа «Крюково»";"2014";"построен";"пригородная железная дорога";"";"";"";
"22";"Транспортно-пересадочный узел «Малино» (п)";"1770002";"Зеленоградский административный округ";"район Старое Крюково";"платформа «Малино»";"2014";"построен";"пригородная железная дорога";"16";"";"";
"23";"Транспортно-пересадочный узел «Аэропорт» (п)";"1770003";"Северный административный округ";"район Аэропорт";"станция метро «Аэропорт»";"2014";"построен";"метро; перехватывающая парковка";"100";"";"";
"25";"Транспортно-пересадочный узел «Красный Балтиец» (п)";"1770005";"Северный административный округ";"район Коптево";"платформа «Красный Балтиец»";"2014";"построен";"пригородная железная дорога";"";"";"";
"26";"Транспортно-пересадочный узел «Марк» (п)";"1770006";"Северо-Восточный административный округ";"район Лианозово";"платформа «Марк»";"2014";"построен";"пригородная железная дорога";"90";"";"";
"27";"Транспортно-пересадочный узел «Моссельмаш» (с)";"1770007";"Северный административный округ";"район Западное Дегунино";"платформа «Моссельмаш»";"2014";"построен";"пригородная железная дорога";"53";"";"";
"29";"Транспортно-пересадочный узел «Новоподрезково» (п)";"1770009";"Северный административный округ";"Молжаниновский район";"платформа «Новоподрезково»";"2014";"построен";"пригородная железная дорога";"102";"";"";
"30";"Транспортно-пересадочный узел «Петровский парк» (п)";"1770010";"Северный административный округ";"район Аэропорт";"станция метро «Петровский парк»";"2015";"проект";"метро; перехватывающая парковка";"300";"";"";
"31";"Транспортно-пересадочный узел «Свиблово» (п)";"1770011";"Северо-Восточный административный округ";"район Свиблово";"станция метро «Свиблово»";"2014";"построен";"метро; перехватывающая парковка";"660";"";"";
"32";"Транспортно-пересадочный узел «Яуза» (п)";"1770012";"Северо-Восточный административный округ";"район Ростокино";"платформа «Яуза»";"2014";"построен";"пригородная железная дорога";"14";"";"";
"33";"Транспортно-пересадочный узел «Алексеевская» (п)";"1770013";"Северо-Восточный административный округ";"Останкинский район";"станция метро «Алексеевская»";"2014";"построен";"метро; перехватывающая парковка";"390";"";"";
"34";"Транспортно-пересадочный узел «Ботанический Сад» (п)";"1770014";"Северо-Восточный административный округ";"район Свиблово";"станция метро «Ботанический сад»";"2014";"построен";"метро; московское центральное кольцо; перехватывающая парковка";"200";"";"";
"35";"Транспортно-пересадочный узел «Владыкино» (п)";"1770015";"Северо-Восточный административный округ";"район Марфино";"станция метро «Владыкино»";"2014";"построен";"метро; московское центральное кольцо; перехватывающая парковка";"";"";"";
"186";"Транспортно-пересадочный узел «Мневники»";"1770016";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"станция метро «Мнёвники»";"2019";"проект";"метро";"";"";"";
"187";"Транспортно-пересадочный узел «улица Народного Ополчения» (к)";"1770017";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"станция метро «улица Народного Ополчения»";"2020";"проект";"метро";"";"";"";
"188";"Транспортно-пересадочный узел «Кленовый Бульвар» (к)";"1770018";"Южный административный округ";"район Нагатинский Затон";"станция метро «Нагатинский затон»";"2019";"проект";"метро";"";"";"";
"190";"Транспортно-пересадочный узел «Мичуринский проспект» (к)";"1770020";"Западный административный округ";"район Раменки";"станция метро «Мичуринский проспект»";"2020";"проект";"метро; перехватывающая парковка";"390";"";"";
"192";"Транспортно-пересадочный узел «Селигерская улица» (к)";"1770022";"Северный административный округ";"Бескудниковский район";"станция метро «Селигерская улица»";"2019";"проект";"Метро; перехватывающая парковка; автовокзал";"870";"";"";
"195";"Транспортно-пересадочный узел «Фонвизинская» (к)";"1770025";"Северный административный округ";"Тимирязевский район";"станция метро «Фонвизинская»";"2019";"проект";"метро";"";"";"";
"199";"Транспортно-пересадочный узел «Улица Дмитриевского » (к)";"1770029";"Восточный административный округ";"район Косино-Ухтомский";"станция метро «Улица Дмитриевского»";"2019";"проект";"метро";"";"";"";
"200";"Транспортно-пересадочный узел «Алма-Атинская» (к)";"1770030";"Южный административный округ";"район Братеево";"станция метро «Алма-Атинская»";"2019";"проект";"метро";"";"";"";
"213";"Транспортно-пересадочный узел «Новогиреево» (п)";"1770031";"Восточный административный округ";"район Новогиреево";"станция метро «Новогиреево»";"2020";"проект";"метро";"";"";"";
"214";"Транспортно-пересадочный узел «Щелковская»";"1770032";"Восточный административный округ";"район Гольяново";"станция метро «Щёлковская»";"2020";"проект";"Метро; перехватывающая парковка";"600";"";"";
"215";"Транспортно-пересадочный узел «Таганская» (п)";"1770033";"Центральный административный округ";"Таганский район";"станция метро «Таганская»";"2020";"проект";"Метро; станция железной дороги; автовокзал";"";"";"";
"216";"Транспортно-пересадочный узел «Тушинская» (к)";"1770034";"Северо-Западный административный округ";"район Покровское-Стрешнево";"станция метро «Тушинская», платформа «Тушинская»";"2020";"проект";"Метро; станция железной дороги; автовокзал";"";"";"";
"217";"Транспортно-пересадочный узел «Площадь Ильича» (п)";"1770035";"Центральный административный округ";"Таганский район";"станция метро «Площадь Ильича», платформа «Площадь Ильича»";"2020";"проект";"метро; пригородная железная дорога";"";"";"";
"218";"Транспортно-пересадочный узел «Авиамоторная» (к)";"1770036";"Юго-Восточный административный округ";"район Лефортово";"станция метро «Авиамоторная»";"2019";"проект";"Метро; перехватывающая парковка; станция железной дороги";"290";"";"";
"219";"Транспортно-пересадочный узел «Петровско-Разумовская» (к)";"1770037";"Северный административный округ";"Тимирязевский район";"станция метро «Петровско-Разумовская»";"2018";"проект";"Метро; перехватывающая парковка; станция железной дороги";"210";"";"";
"220";"Транспортно-пересадочный узел «Царицыно» (к)";"1770038";"Южный административный округ";"район Царицыно";"станция метро «Царицыно»";"2020";"проект";"Метро; перехватывающая парковка; станция железной дороги";"470";"";"";
"221";"Транспортно-пересадочный узел «Текстильщики» (к)";"1770039";"Юго-Восточный административный округ";"район Текстильщики";"станция метро «Текстильщики»";"2020";"проект";"Метро; перехватывающая парковка; станция железной дороги";"250";"";"";
"222";"Транспортно-пересадочный узел «Сходненская» (п)";"1770040";"Северо-Западный административный округ";"район Северное Тушино";"станция метро «Сходненская»";"2020";"проект";"метро";"";"";"";
"223";"Транспортно-пересадочный узел «Бабушкинская» (п)";"1770041";"Северо-Восточный административный округ";"Бабушкинский район";"станция метро «Бабушкинская»";"2020";"проект";"метро; перехватывающая парковка";"380";"";"";
"224";"Транспортно-пересадочный узел «Красногвардейская» (п)";"1770042";"Южный административный округ";"район Зябликово";"станция метро «Красногвардейская»";"2020";"проект";"Метро; перехватывающая парковка; автовокзал";"140";"";"";
"225";"Транспортно-пересадочный узел «Тимирязевская» (к)";"1770043";"Северный административный округ";"Тимирязевский район";"станция метро «Тимирязевская»";"2020";"проект";"Метро; перехватывающая парковка; станция железной дороги";"350";"";"";
"226";"Транспортно-пересадочный узел «Молодежная» (к)";"1770044";"Западный административный округ";"район Кунцево";"станция метро «Молодёжная»";"2020";"проект";"Метро; перехватывающая парковка";"";"";"";
"227";"Транспортно-пересадочный узел «Теплый Стан» (к)";"1770045";"Юго-Западный административный округ";"район Ясенево";"станция метро «Тёплый Стан»";"2020";"проект";"Метро; перехватывающая парковка; автовокзал";"210";"";"";
"229";"Транспортно-пересадочный узел «Щукинская» (к)";"1770047";"Северо-Западный административный округ";"район Щукино";"станция метро «Щукинская»";"2020";"проект";"метро";"";"";"";
"230";"Транспортно-пересадочный узел «Электрозаводская» (к)";"1770048";"Восточный административный округ";"район Соколиная Гора";"станция метро «Электрозаводская»";"2020";"проект";"Метро; станция железной дороги";"90";"";"";
"232";"Транспортно-пересадочный узел «Нагатинская» (к)";"1770049";"Южный административный округ";"Нагорный район";"станция метро «Нагатинская»";"2020";"проект";"Метро; станция железной дороги";"";"";"";
"233";"Транспортно-пересадочный узел «Семеновская» (п)";"1770050";"Восточный административный округ";"район Соколиная Гора";"станция метро «Семеновская»";"2020";"проект";"метро; перехватывающая парковка";"100";"";"";
"234";"Транспортно-пересадочный узел «Славянский бульвар» (к)";"1770051";"Западный административный округ";"район Фили-Давыдково";"станция метро «Слявянский бульвар»";"2020";"проект";"Метро; перехватывающая парковка";"330";"";"";
"235";"Транспортно-пересадочный узел «Дмитровская» (к)";"1770052";"Северный административный округ";"Тимирязевский район";"станция метро «Дмитровская»";"2020";"построен";"Метро; перехватывающая парковка; станция железной дороги";"160";"";"";
"236";"Транспортно-пересадочный узел «Кунцевская» (к)";"1770053";"Западный административный округ";"район Кунцево";"станция метро «Кунцевская»";"2020";"проект";"Метро; перехватывающая парковка; станция железной дороги";"";"";"";
"237";"Транспортно-пересадочный узел «Варшавская» (к)";"1770054";"Южный административный округ";"Нагорный район";"станция метро «Варшавская»";"2020";"проект";"Метро; станция железной дороги; автовокзал";"";"";"";
"269";"Транспортно-пересадочный узел «Пионерская» (п)";"1770055";"Западный административный округ";"район Фили-Давыдково";"станция метро «Пионерская»";"2014";"построен";"метро; перехватывающая парковка";"";"";"";
"202";"Транспортно-пересадочный узел «Пятницкое шоссе» (к)";"1770057";"Северо-Западный административный округ";"район Митино";"станция метро «Пятницкое шоссе»";"2018";"проект";"Метро; перехватывающая парковка";"2100";"";"";
